pdb_id	chains
7M9M	A,B
7M9N	A,B
7M9O	A,B
7M9P	A,B
7M9Q	A,B
7M9R	A,B
7M9S	A,B
7M9T	A,B
7M9U	A,B
7M9V	A,B
7M9W	A,B
7M9X	A,B
7M9Z	A,B
7MA0	A,B
7MA1	A,B
7MA2	A,B
7MAB	A,B
7MAC	A,B
7MAD	A,B
7MAE	A,B
7MAF	A,B
7MAG	A,B
7MAH	A,B
7MAI	A,B
7MAJ	A,B
7MAK	A,B
7MAL	A,B
7MAN	A,B
7MAO	A,B
8BUV	A,B,C,D
1GC1	G
6AYA	A
2B7Z	A,B
2XV6	A,C
4MC1	A,B
4MC2	A,B
4MC6	A,B
4MC9	A,B
5TC2	A,B
7LDZ	A,B
7LE0	A,B
7LE1	A,B
7LE2	A,B
7LE3	A,B
7LE4	A,B
7LE5	A,B
7LE6	A,B
7LE7	A,B
7LE9	A,B
7LEA	A,B
7LEB	A,B
7LEC	A,B
7LED	A,B
7LEE	A,B
7LEF	A,B
7LEG	A,B
7LEH	A,B
7LEI	A,B
7RQ0	A,B
7SIA	A,B
7UOQ	A
7FF1	B,E,N,A,C,D
2BSS	C
4XMP	G
4XNY	G
5IQ9	C,P
1KJ7	A,B,P
1KJF	A,B,P
1KJH	A,B,P
5VJ3	A
6P7H	C
6P8D	C,F
6PDR	A
6PDU	C
6PU1	A
8D3S	A
4Y1C	A,B
4Y1D	A,B
5VCK	A,B
6PDS	C,G
6PEC	A
6PEF	C,F
3NDU	A,B,C,D
6AY9	A
3G9R	A,B,C,D,E,F
3I2L	A,B
6W6T	A,B
3IA9	A,B
4DGA	C,D
4DGE	C,D
6VLM	A,B
1RZJ	G
5SVZ	B
2NXY	A
2NY1	A
2NY3	A
3HZC	A
7JYA	D,E,F
2NXZ	A
2NY0	A
2NY2	A
2NY4	A
2NY5	G
6SH9	E
6L1Y	A
2BVO	C
1G9M	G
1M9X	C,D,G,H
1M9Y	C,D,G,H
4U1K	C,F
4U1L	C,F
4U1M	C
4U1N	C
1AK4	C,D
6BXQ	A
1M9C	C,D
1M9E	C,D
1M9F	C,D
1QVO	C,F
1EFN	B,D
1M9D	C,D
4G8G	C
4G8I	C
4G9D	C
4G9F	C
2BGR	Y,Z
3WL9	C
3WLB	C
6BXP	C
3VXM	C
3VXN	C
3VXP	C,F
3VXR	C
3VXS	C
5WEU	P
8CCW	B
8CCZ	C,D
4U1H	C
4U1I	C
4U1J	C
2X2D	D,E
4U1S	C
4LNR	C
1AGB	C
1AGC	C
1AGD	C
1AGE	C
1AGF	C
5HGA	C,F
5HGD	C,F
5HGH	C
6RYF	G
3RL2	C
1E27	C
4WU5	C,F
4WU7	C,F
7DZM	C
7SIF	C
7SIG	C
7SIH	C
3OBU	B
3OBX	B
2C7U	C,F
5XOS	C
2HJK	C
3GIV	C,F
6VPZ	C
6VQ2	C
6VQD	C
6VQE	C
6VQZ	F,G
8ERX	C
3NFN	C
6J1V	C
5V5L	E,F
2V2W	C,F
2V2X	C,F
5VGD	C
3E6F	P
3E6H	P
7WJ2	C
6ID4	T,U
8E13	C
8E2Z	C
8E8I	C
8EC5	C
1A1N	C
2HJL	C
6BJ3	C
1A1O	C
6P23	C
6P27	C
6P2C	C
6P2F	C
6P2S	C
6PYL	C
1HHJ	C,F
3RL1	C
5NMH	C
5NMK	C
2YPK	C
2YPL	C
6J1W	C
4HWZ	C
2X4U	C,F
2X4O	C,F
6NPR	P,R
6EWA	C,G
3P9G	B
3P9H	B
1S8D	C
1T1W	C
1QO3	P
