Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Tissue Expression	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100
6t5aF	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40	2murB	chain B	2murAB	RL40_HUMAN - FAP20_HUMAN	-6.32	-9.559	24	28	85.71%	No expression data available	0.5	0.666684235	0.428571429	0.285721815	-1.805761871																																																																																	
6t5aF	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	T2EB_HUMAN	Transcription initiation factor IIE subunit beta	5iy8R	chain R	5iy8RT	T2EB_HUMAN - T2FB_HUMAN	-6.428	-4.434	19	24	79.17%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.395833333	0.064309087	-0.413378813																																																																																	
6t5aF	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	IST1_HUMAN	IST1 homolog	4u7eA	chain A	4u7eAB	IST1_HUMAN - VTA1_HUMAN	-7.55	-8.988	39	39	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.547850861	1.0	0.547850861	-4.136274003																																																																																	
6t5aF	HUMAN HERPESVIRUS 1	CYTOPLASMIC ENVELOPMENT PROTEIN 1	PAXI_HUMAN	Paxillin	3gm1E	chain E	3gm1AE	PAXI_HUMAN - FAK2_HUMAN	-5.923	-7.667	37	43	86.05%	No expression data available	1.0	0.585770383	0.860465116	0.504034981	-2.985399192																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35	5f0kA	chain A	5f0kAB	VPS35_HUMAN - VPS35_HUMAN	-8.371	-10.999	51	56	91.07%	No expression data available	1.5	0.053915692	1.366071429	0.073652686	-0.616546637																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein	3cojB	chain B	3cojAB	BRCA1_HUMAN - BRCA1_HUMAN	-6.539	-8.751	19	26	73.08%	No expression data available	0.5	0.000494326	0.365384615	0.000180619	-0.001181069																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	IL7RA_HUMAN	Interleukin-7 receptor subunit alpha	5j11B	chain B	5j11AB	IL7RA_HUMAN - TSLP_HUMAN	-5.242	-10.335	30	36	83.33%	appendix, bone marrow, breast, bronchus, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, esophagus, fallopian tube, gallbladder, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.513562482	0.833333333	0.427968735	-2.243412109																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	DBLOH_HUMAN	Diablo homolog, mitochondrial	4tx5B	chain B	4tx5AB	DBLOH_HUMAN - DBLOH_HUMAN	-8.115	-24.428	50	56	89.29%	No expression data available	1.5	0.919518974	1.339285714	1.231498626	-9.993611349																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	UB2E2_HUMAN	Ubiquitin-conjugating enzyme E2 E2	1y6lA	chain A	1y6lAC	UB2E2_HUMAN - UB2E2_HUMAN	-5.095	-2.451	15	16	93.75%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.46875	0.076155498	-0.388012263																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	ARL1_HUMAN	ADP-ribosylation factor-like protein 1	4dcnA	chain A	4dcnAC	ARL1_HUMAN - ARFP2_HUMAN	-5.198	-8.262	33	36	91.67%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.852587966	0.916666667	0.781538969	-4.06243956																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	LTOR2_HUMAN	Ragulator complex protein LAMTOR2	5x6vB	chain B	5x6vBF	LTOR2_HUMAN - RRAGA_HUMAN	-5.565	-9.479	29	31	93.55%	appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.231864657	0.935483871	0.216905647	-1.207079925																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	UBB_HUMAN	Polyubiquitin-B	5vzmA	chain A	5vzmAB	UBB_HUMAN - REV1_HUMAN	-5.851	-9.403	28	31	90.32%	No expression data available	1.0	0.825235483	0.903225806	0.745373985	-4.361183185																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	TRI37_HUMAN	E3 ubiquitin-protein ligase TRIM37	3lrqD	chain D	3lrqAD	TRI37_HUMAN - TRI37_HUMAN	-6.014	-15.789	35	43	81.40%	No expression data available	1.0	0.643172107	0.813953488	0.52351218	-3.14840225																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	UBB_HUMAN	Polyubiquitin-B	2n13B	chain B	2n13AB	UBB_HUMAN - MYO6_HUMAN	-5.225	-6.604	24	29	82.76%	No expression data available	0.5	0.235916889	0.413793103	0.097620782	-0.510068585																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	UBB_HUMAN	Polyubiquitin-B	2n13C	chain C	2n13CD	UBB_HUMAN - MYO6_HUMAN	-5.339	-8.147	22	29	75.86%	No expression data available	0.5	0.222634767	0.379310345	0.08444767	-0.450866112																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	STIM1_HUMAN	Stromal interaction molecule 1	4o9bD	chain D	4o9bAD	STIM1_HUMAN - STIM1_HUMAN	-6.156	-17.541	37	50	74.00%	No expression data available	1.5	0.173686719	1.11	0.192792258	-1.186829141																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	RASF5_HUMAN	Ras association domain-containing protein 5	4oh8B	chain B	4oh8AB	RASF5_HUMAN - STK4_HUMAN	-9.843	-23.65	37	43	86.05%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.814245665	0.860465116	0.700629991	-6.896301002																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	HOME3_HUMAN	Homer protein homolog 3	3cvfD	chain D	3cvfAD	HOME3_HUMAN - HOME3_HUMAN	-5.767	-9.216	28	32	87.50%	No expression data available	1.0	0.0	0.875	0	0																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pE	chain E	5f5pEG	ROCK1_HUMAN - SHRM2_HUMAN	-6.06	-11.339	44	55	80.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.284540028	1.2	0.341448034	-2.069175085																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	chain C	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-6.758	-11.075	44	50	88.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.350035012	1.32	0.462046216	-3.122508329																																																																																	
1of1B	HERPES SIMPLEX VIRUS (TYPE 1 / STRAIN 17)	THYMIDINE KINASE	CHM1B_HUMAN	Charged multivesicular body protein 1b	3eabG	chain G	3eabAG	CHM1B_HUMAN - SPAST_HUMAN	-6.093	-16.847	54	65	83.08%	No expression data available	1.5	0.851489444	1.246153846	1.061086846	-6.465202152																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase	5wu5D	chain D	5wu5AD	STPAP_HUMAN - STPAP_HUMAN	-5.236	-7.709	21	21	100.00%	No expression data available	0.5	0.66216353	0.5	0.331081765	-1.733544123																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	XPO1_HUMAN	Exportin-1	1w9cB	chain B	1w9cAB	XPO1_HUMAN - XPO1_HUMAN	-5.027	-14.983	44	49	89.80%	No expression data available	1.0	0.980260797	0.897959184	0.880234185	-4.424937248																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	CSN5_HUMAN	COP9 signalosome complex subunit 5	4d10E	chain E	4d10BE	CSN5_HUMAN - CSN2_HUMAN	-6.109	-8.598	25	25	100.00%	No expression data available	0.5	0.044996018	0.5	0.022498009	-0.137440336																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein	3cojB	chain B	3cojAB	BRCA1_HUMAN - BRCA1_HUMAN	-5.159	-8.751	19	26	73.08%	No expression data available	0.5	0.000494326	0.365384615	0.000180619	-0.000931815																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	GHR_HUMAN	Growth hormone receptor	1hwgC	chain C	1hwgAC	GHR_HUMAN - SOMA_HUMAN	-6.564	-8.871	37	40	92.50%	No expression data available	1.0	0.457819861	0.925	0.423483371	-2.77974485																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	NGAL_HUMAN	Neutrophil gelatinase-associated lipocalin	4mvlA	chain A	4mvlAB	NGAL_HUMAN - NGAL_HUMAN	-6.176	-5.229	29	36	80.56%	No expression data available	1.0	0.007184377	0.805555556	0.005787415	-0.035743074																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	DBLOH_HUMAN	Diablo homolog, mitochondrial	4tx5B	chain B	4tx5AB	DBLOH_HUMAN - DBLOH_HUMAN	-5.541	-24.428	50	56	89.29%	No expression data available	1.5	0.919518974	1.339285714	1.231498626	-6.823733886																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	UB2E2_HUMAN	Ubiquitin-conjugating enzyme E2 E2	1y6lA	chain A	1y6lAC	UB2E2_HUMAN - UB2E2_HUMAN	-5.902	-2.451	15	16	93.75%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.162465063	0.46875	0.076155498	-0.44946975																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain	1r5iA	chain A	1r5iAD	DRA_HUMAN - Q48898_MYCAT	-5.103	-12.085	45	46	97.83%	No expression data available	1.0	0.725928724	0.97826087	0.710147665	-3.623883533																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	ARL1_HUMAN	ADP-ribosylation factor-like protein 1	1uptA	chain A	1uptAB	ARL1_HUMAN - GOGA4_HUMAN	-7.632	-9.69	28	28	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.928968783	0.5	0.464484391	-3.544944875																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	NU6M_HUMAN	NADH-ubiquinone oxidoreductase chain 6	5xtcm	chain m	5xtcim	NU6M_HUMAN - NU2M_HUMAN	-5.817	-9.558	47	48	97.92%	No expression data available	1.0	0.15378792	0.979166667	0.150584005	-0.875947159																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	TRI37_HUMAN	E3 ubiquitin-protein ligase TRIM37	3lrqD	chain D	3lrqAD	TRI37_HUMAN - TRI37_HUMAN	-5.879	-15.789	35	43	81.40%	No expression data available	1.0	0.643172107	0.813953488	0.52351218	-3.077728106																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	UBB_HUMAN	Polyubiquitin-B	2n13C	chain C	2n13CD	UBB_HUMAN - MYO6_HUMAN	-7.494	-8.147	22	29	75.86%	No expression data available	0.5	0.222634767	0.379310345	0.08444767	-0.632850842																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	2izxB	chain B	2izxAB	KAP2_HUMAN - KAP2_HUMAN	-11.04	-24.051	29	38	76.32%	No expression data available	1.0	0.958098325	0.763157895	0.7311803	-8.072230516																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pE	chain E	5f5pEG	ROCK1_HUMAN - SHRM2_HUMAN	-5.722	-11.339	43	55	78.18%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.284540028	1.172727273	0.333687851	-1.909361885																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	chain C	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-6.527	-11.075	43	50	86.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.350035012	1.29	0.451545166	-2.947235297																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	SF3A3_HUMAN	Splicing factor 3A subunit 3	2dt7A	chain A	2dt7AB	SF3A3_HUMAN - SF3A1_HUMAN	-5.332	-11.657	30	38	78.95%	No expression data available	1.0	0.485033925	0.789473684	0.38292152	-2.041737544																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	4auvD	chain D	4auvDE	BRMS1_HUMAN - BRMS1_HUMAN	-6.634	-5.273	15	15	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.0	0.5	0	0																																																																																	
4oqlA	HUMAN HERPESVIRUS 1	THYMIDINE KINASE	RIOK2_HUMAN	Serine/threonine-protein kinase RIO2	5dhfD	chain D	5dhfCD	RIOK2_HUMAN - XPO1_YEAST	-6.421	-12.558	54	64	84.38%	No expression data available	1.5	0.944522123	1.265625	1.195410812	-7.675732824																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	ENAH_HUMAN	Protein enabled homolog	5najB	chain B	5najBC	ENAH_HUMAN - ENAH_HUMAN	-5.008	-4.73	20	27	74.07%	No expression data available	0.5	0.32959884	0.37037037	0.122073645	-0.611344812																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	CCM2_HUMAN	Cerebral cavernous malformations 2 protein	4yl6A	chain A	4yl6AB	CCM2_HUMAN - M3K3_HUMAN	-6.699	-17.442	16	18	88.89%	No expression data available	0.5	0.944682483	0.444444444	0.419858881	-2.812634645																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	NUP58_HUMAN	Nucleoporin p58/p45	4jq5E	chain E	4jq5AE	NUP58_HUMAN - NUP58_HUMAN	-5.488	-8.352	34	38	89.47%	appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.001253979	0.894736842	0.001121981	-0.006157433																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	SKA3_HUMAN	Spindle and kinetochore-associated protein 3	4aj51	chain 1	4aj51N	SKA3_HUMAN - SKA2_HUMAN	-6.486	-8.614	18	20	90.00%	epididymis, testis	0.5	0.022394498	0.45	0.010077524	-0.065362822																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	SKA3_HUMAN	Spindle and kinetochore-associated protein 3	4aj5Z	chain Z	4aj5LZ	SKA3_HUMAN - SKA2_HUMAN	-7.274	-8.66	18	21	85.71%	epididymis, testis	0.5	0.162465063	0.428571429	0.069627884	-0.506473228																																																																																	
4u4hA	HUMAN HERPESVIRUS 1	TEGUMENT PROTEIN UL21	VAMP2_HUMAN	Vesicle-associated membrane protein 2	3rl0Q	chain Q	3rl0Qk	VAMP2_HUMAN - CPLX1_HUMAN	-5.106	-3.858	15	15	100.00%	No expression data available	0.5	0.0	0.5	0	0																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35	5f0kA	chain A	5f0kAB	VPS35_HUMAN - VPS35_HUMAN	-7.287	-10.999	51	56	91.07%	No expression data available	1.5	0.053915692	1.366071429	0.073652686	-0.536707125																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	XPO1_HUMAN	Exportin-1	1w9cB	chain B	1w9cAB	XPO1_HUMAN - XPO1_HUMAN	-5.804	-14.983	44	49	89.80%	No expression data available	1.0	0.980260797	0.897959184	0.880234185	-5.10887921																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	EPHA8_HUMAN	Ephrin type-A receptor 8	3kulB	chain B	3kulAB	EPHA8_HUMAN - EPHA8_HUMAN	-5.253	-6.115	28	32	87.50%	No expression data available	1.0	0.162465063	0.875	0.14215693	-0.746750352																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	CSN5_HUMAN	COP9 signalosome complex subunit 5	4d10E	chain E	4d10BE	CSN5_HUMAN - CSN2_HUMAN	-6.823	-8.598	25	25	100.00%	No expression data available	0.5	0.044996018	0.5	0.022498009	-0.153503915																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	RFA1_HUMAN	Replication protein A 70 kDa DNA-binding subunit	1fguB	chain B	1fguAB	RFA1_HUMAN - RFA1_HUMAN	-5.333	-7.212	17	18	94.44%	No expression data available	0.5	0.265027401	0.472222222	0.125151828	-0.667434699																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain	1r5iA	chain A	1r5iAD	DRA_HUMAN - Q48898_MYCAT	-5.478	-12.085	45	46	97.83%	No expression data available	1.0	0.725928724	0.97826087	0.710147665	-3.890188907																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	LTOR2_HUMAN	Ragulator complex protein LAMTOR2	5x6vB	chain B	5x6vBF	LTOR2_HUMAN - RRAGA_HUMAN	-5.543	-9.479	29	31	93.55%	appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.231864657	0.935483871	0.216905647	-1.202308001																																																																																	
1e2mB	HERPES SIMPLEX VIRUS (TYPE 1 / STRAI	THYMIDINE KINASE	NU6M_HUMAN	NADH-ubiquinone oxidoreductase chain 6	5xtcm	chain m	5xtcim	NU6M_HUMAN - NU2M_HUMAN	-7.222	-9.558	47	48	97.92%	No expression data available	1.0	0.15378792	0.979166667	0.150584005	-1.087517686																																																																																	
