Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	RING2_HUMAN	E3 ubiquitin-protein ligase RING2	3ixsC	3ixsAC	RING2_HUMAN - RING2_HUMAN	-5.348	-2.508	16	20	80.00%	No expression data available	0.5	0	0.4	0	0
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-6.352	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.61644885
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	ING4_HUMAN	Inhibitor of growth protein 4	4aflA	4aflAF	ING4_HUMAN - ING4_HUMAN	-5.003	-9.225	26	26	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.162465063	0.5	0.081232531	-0.406406354
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	OPTN_HUMAN	Optineurin	5eoaA	5eoaAC	OPTN_HUMAN - TBK1_HUMAN	-5.032	-19.034	25	42	59.52%	No expression data available	1	0.098883375	0.595238095	0.058859152	-0.296179251
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-8.985	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-2.503511353
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-9.015	-22.966	34	41	82.93%	No expression data available	1	0.32959884	0.829268293	0.273325867	-2.464032695
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.57	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2	4pasB	4pasAB	GABR2_HUMAN - GABR1_HUMAN	-7.996	-21.342	25	35	71.43%	No expression data available	1	0.576074139	0.714285714	0.411481528	-3.290206295
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-7.418	-21.108	26	41	63.41%	No expression data available	1	0.719951511	0.634146341	0.456554617	-3.386722146
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-6.476	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-3.761448806
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.467	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-0.992822413
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-5.649	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.394112024
7kopA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	PROTEIN PA-X	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-6.666	-18.024	26	34	76.47%	No expression data available	1	0.737698633	0.764705882	0.564122484	-3.760440477
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	QPCT_HUMAN	Glutaminyl-peptide cyclotransferase	3pbbA	3pbbAB	QPCT_HUMAN - QPCT_HUMAN	-5.234	-5.021	20	33	60.61%	No expression data available	1	0.162465063	0.606060606	0.098463674	-0.515358871
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-7.018	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.6523913
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.008	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.223699063
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-6.175	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.378924576
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-7.251	-12.578	24	32	75.00%	No expression data available	1	0.126606637	0.75	0.094954977	-0.688518542
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.365	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.470137252
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-7.753	-16.661	25	29	86.21%	No expression data available	0.5	0.82681418	0.431034483	0.356385422	-2.763056179
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	IL15_HUMAN	Interleukin-15	2z3rO	2z3rCO	IL15_HUMAN - IL15_HUMAN	-6.346	-14.229	35	40	87.50%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.039751926	0.875	0.034782935	-0.220732505
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-9.126	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-6.75128962
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2	4b7yD	4b7yAD	MSL2_HUMAN - MSL1_HUMAN	-5.657	-8.391	24	28	85.71%	No expression data available	0.5	0.08190861	0.428571429	0.03510369	-0.198581575
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-6.358	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.617031138
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-5.881	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.389016335
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-5.613	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.563963186
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-9.199	-22.966	33	41	80.49%	No expression data available	1	0.32959884	0.804878049	0.265286871	-2.44037393
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.537	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-5.898	-12.548	26	35	74.29%	No expression data available	1	0.493264034	0.742857143	0.366424711	-2.161172944
4mk5A	INFLUENZA A VIRU	POLYMERASE PA	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	4auvB	4auvBE	BRMS1_HUMAN - BRMS1_HUMAN	-5.63	-4.509	18	19	94.74%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0	0.473684211	0	0
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-6.037	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.361953595
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	4hwiA	4hwiAB	HSP7C_HUMAN - BAG1_ARATH	-5.093	-5.989	41	46	89.13%	No expression data available	1	0.430317173	0.891304348	0.383543567	-1.953387389
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-6.487	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.60302969
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.246	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.376902014
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	UNG_HUMAN	Uracil-DNA glycosylase	3fclA	3fclAB	UNG_HUMAN - UNG_HUMAN	-5.277	-7.661	34	41	82.93%	No expression data available	1	0.265027401	0.829268293	0.21977882	-1.159772833
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-5.514	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.338362771
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.855	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.513076162
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	B2CL1_HUMAN	Bcl-2-like protein 1	5vx3E	5vx3EF	B2CL1_HUMAN - B2L11_HUMAN	-8.055	-18.521	21	21	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.985460895	0.5	0.492730448	-3.968943756
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	APBB1_HUMAN	Amyloid-beta A4 precursor protein-binding family B member 1	5nqhA	5nqhAB	APBB1_HUMAN - APBB1_HUMAN	-8.023	-11.684	34	47	72.34%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.373681337	0.723404255	0.27032267	-2.168798778
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	IL15_HUMAN	Interleukin-15	2z3rO	2z3rCO	IL15_HUMAN - IL15_HUMAN	-5.304	-14.229	35	40	87.50%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.039751926	0.875	0.034782935	-0.184488687
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-8.862	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-6.555986041
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2	4zycB	4zycAB	MDM2_HUMAN - MDM2_HUMAN	-5.786	-8.352	24	27	88.89%	No expression data available	0.5	0	0.444444444	0	0
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2	4b7yD	4b7yAD	MSL2_HUMAN - MSL1_HUMAN	-7.226	-8.391	24	28	85.71%	No expression data available	0.5	0.08190861	0.428571429	0.03510369	-0.253659265
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-6.055	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.587625597
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-11.849	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-2.863664225
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-6.04	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.426570083
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-6.285	-22.966	33	41	80.49%	No expression data available	1	0.32959884	0.804878049	0.265286871	-1.667327987
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-8.837	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-5.132786149
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.458	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
4mk2A	INFLUENZA A VIRU	POLYMERASE PA	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-7.083	-18.024	28	34	82.35%	No expression data available	1	0.737698633	0.823529412	0.607516521	-4.303039518
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	DCAF1_HUMAN	DDB1- and CUL4-associated factor 1	4z8lA	4z8lAB	DCAF1_HUMAN - Q7ZB17_SIV	-6.532	-23.476	41	58	70.69%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.710076007	1.060344828	0.752925421	-4.918108848
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	HPT_HUMAN	Haptoglobin	4wjg2	4wjg24	HPT_HUMAN - I7BA80_TRYBB	-7.048	-7.739	24	24	100.00%	No expression data available	0.5	0.034832631	0.5	0.017416315	-0.12275019
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.567	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.583532884
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-6.603	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.653112205
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-6.39	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.559958442
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RAB8A_HUMAN	Ras-related protein Rab-8A	4li0B	4li0BC	RAB8A_HUMAN - R3GEF_HUMAN	-5.503	-11.19	25	34	73.53%	No expression data available	1	0.430312259	0.735294118	0.316406073	-1.74118262
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-6.228	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-2.308351147
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	3fflAC	APC7_HUMAN - APC7_HUMAN	-5.416	-11.098	28	30	93.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.178591079	0.933333333	0.166685007	-0.902766001
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-7.374	-7.26	17	22	77.27%	No expression data available	0.5	0.025858619	0.386363636	0.00999083	-0.073672381
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NU3M_HUMAN	NADH-ubiquinone oxidoreductase chain 3	5xtcj	5xtcjk	NU3M_HUMAN - NU4LM_HUMAN	-5.51	-5.465	21	21	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.447591247
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PHC3_HUMAN	Polyhomeotic-like protein 3	4pznA	4pznAC	PHC3_HUMAN - PHC3_HUMAN	-5.452	-7.747	19	22	86.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.152060124	0.431818182	0.065662326	-0.357991003
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-6.704	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.650609744
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	OPTN_HUMAN	Optineurin	5eoaA	5eoaAC	OPTN_HUMAN - TBK1_HUMAN	-8.3	-19.034	25	42	59.52%	No expression data available	1	0.098883375	0.595238095	0.058859152	-0.488530958
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-7.271	-22.966	34	41	82.93%	No expression data available	1	0.32959884	0.829268293	0.273325867	-1.987352382
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-7.853	-21.108	25	41	60.98%	No expression data available	1	0.719951511	0.609756098	0.438994824	-3.44742635
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-5.922	-13.471	25	41	60.98%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.609756098	0.00190872	-0.011303439
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-5.101	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-2.962808888
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-5.919	-12.548	25	35	71.43%	No expression data available	1	0.493264034	0.714285714	0.352331453	-2.085449868
