Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	
1vhiB	HUMAN HERPESVIRUS 4	EPSTEIN BARR VIRUS NUCLEAR ANTIGEN-1	NDKM_HUMAN	"Nucleoside diphosphate kinase, mitochondrial"	1ehwB	1ehwAB	NDKM_HUMAN - NDKM_HUMAN	-8.748	-19.15	43	46	93.48%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.997894611	0.934782609	0.932814528	-8.160261491	
1vhiB	HUMAN HERPESVIRUS 4	EPSTEIN BARR VIRUS NUCLEAR ANTIGEN-1	IL15_HUMAN	Interleukin-15	2z3rG	2z3rGK	IL15_HUMAN - IL15_HUMAN	-5.06	-13.016	33	41	80.49%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.120041694	0.804878049	0.096618924	-0.488891756	
1vhiB	HUMAN HERPESVIRUS 4	EPSTEIN BARR VIRUS NUCLEAR ANTIGEN-1	B2MG_HUMAN	Beta-2-microglobulin	4r9hA	4r9hAD	B2MG_HUMAN - B2MG_HUMAN	-5.945	-4.205	31	31	100.00%	No expression data available	1	0.214104489	1	0.214104489	-1.27285119	
1vhiB	HUMAN HERPESVIRUS 4	EPSTEIN BARR VIRUS NUCLEAR ANTIGEN-1	CENPS_HUMAN	Centromere protein S	4ndyR	4ndyQR	CENPS_HUMAN - CENPS_HUMAN	-5.733	-8.058	17	27	62.96%	No expression data available	0.5	0.675050616	0.314814815	0.212515935	-1.218353853	
1vhiB	HUMAN HERPESVIRUS 4	EPSTEIN BARR VIRUS NUCLEAR ANTIGEN-1	UBL4A_HUMAN	Ubiquitin-like protein 4A	4wwrH	4wwrAH	UBL4A_HUMAN - BAG6_HUMAN	-5.438	-1.046	15	18	83.33%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, nasopharynx, pancreas, placenta, seminal vesicle, skin 1, soft tissue 1, stomach 1, testis, thyroid gland, urinary bladder"	0.5	0	0.416666667	0	0	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8	6c3oE	6c3oAE	ABCC8_HUMAN - KCJ11_HUMAN	-9.898	-18.273	37	60	61.67%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, fallopian tube, hippocampus, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, thyroid gland"	1.5	0.03012682	0.925	0.027867309	-0.275830622	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8	6c3pE	6c3pAE	ABCC8_HUMAN - KCJ11_HUMAN	-8.116	-17.983	37	47	78.72%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, fallopian tube, hippocampus, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, thyroid gland"	1	0.017213093	0.787234043	0.013550733	-0.109977748	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	IMB1_HUMAN	Importin subunit beta-1	2p8qA	2p8qAB	IMB1_HUMAN - SPN1_HUMAN	-5.936	-19.915	28	38	73.68%	No expression data available	1	0.969998313	0.736842105	0.714735599	-4.242670518	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	IMB1_HUMAN	Importin subunit beta-1	2qnaA	2qnaAB	IMB1_HUMAN - SPN1_HUMAN	-9.186	-7.828	30	30	100.00%	No expression data available	1	0.78823103	1	0.78823103	-7.240690237	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CTNB1_HUMAN	Catenin beta-1	1t08A	1t08AB	CTNB1_HUMAN - CNBP1_HUMAN	-8.094	-7.902	27	29	93.10%	No expression data available	0.5	0.617797118	0.465517241	0.28759521	-2.327795631	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	MYO10_HUMAN	Unconventional myosin-X	3au4A	3au4AB	MYO10_HUMAN - DCC_HUMAN	-12.414	-19.556	23	27	85.19%	No expression data available	0.5	0.868485785	0.425925926	0.369910612	-4.592070339	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NU5M_HUMAN	NADH-ubiquinone oxidoreductase chain 5	5xtcl	5xtcYl	NU5M_HUMAN - NDUB2_HUMAN	-8.633	-12.257	36	46	78.26%	No expression data available	1	0.305968448	0.782608696	0.239453568	-2.067202655	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	DCHS_HUMAN	Histidine decarboxylase	4e1oF	4e1oBF	DCHS_HUMAN - DCHS_HUMAN	-6.686	-5.556	21	39	53.85%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.538461538	0.142707062	-0.954139415	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	SYRC_HUMAN	"Arginine--tRNA ligase, cytoplasmic"	4r3zB	4r3zAB	SYRC_HUMAN - AIMP1_HUMAN	-10.805	-12.167	39	39	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, gallbladder, hippocampus, liver, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.100298992	1	0.100298992	-1.083730608	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	MYO10_HUMAN	Unconventional myosin-X	3pzdA	3pzdAB	MYO10_HUMAN - DCC_MOUSE	-10.497	-12.107	21	28	75.00%	No expression data available	0.5	0.636954493	0.375	0.238857935	-2.507291741	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	LOX12_HUMAN	"Arachidonate 12-lipoxygenase, 12S-type"	3d3lB	3d3lAB	LOX12_HUMAN - LOX12_HUMAN	-6.082	-6.475	21	33	63.64%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0	0.636363636	0	0	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ABCG8_HUMAN	ATP-binding cassette sub-family G member 8	5do7D	5do7BD	ABCG8_HUMAN - ABCG8_HUMAN	-6.906	-9.941	28	37	75.68%	No expression data available	1	0	0.756756757	0	0	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase	5wu5D	5wu5AD	STPAP_HUMAN - STPAP_HUMAN	-5.216	-7.709	16	21	76.19%	No expression data available	0.5	0.66216353	0.380952381	0.252252774	-1.315750467	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	DPOA2_HUMAN	DNA polymerase alpha subunit B	4y97A	4y97AB	DPOA2_HUMAN - DPOLA_HUMAN	-11.85	-22.563	42	58	72.41%	No expression data available	1.5	0.920470873	1.086206897	0.99982181	-11.84788845	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ARHG1_HUMAN	Rho guanine nucleotide exchange factor 1	3odoA	3odoAB	ARHG1_HUMAN - ARHG1_HUMAN	-5.966	-9.605	25	29	86.21%	No expression data available	0.5	0.147133681	0.431034483	0.06341969	-0.378361871	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	GSK3B_HUMAN	Glycogen synthase kinase-3 beta	1o9uA	1o9uAB	GSK3B_HUMAN - AXIN1_HUMAN	-5.645	-14.593	18	18	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.741508718	0.5	0.370754359	-2.092908356	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase	5wu6D	5wu6CD	STPAP_HUMAN - STPAP_HUMAN	-9.492	-8.688	29	34	85.29%	No expression data available	1	0.519845478	0.852941176	0.443397613	-4.208730147	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	AA2AR_HUMAN	Adenosine receptor A2a	5g53A	5g53AC	AA2AR_HUMAN - GNAS2_HUMAN	-7.482	-12.569	21	37	56.76%	No expression data available	1	0.975597006	0.567567568	0.55371722	-4.142912237	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	IL6RB_HUMAN	Interleukin-6 receptor subunit beta	1i1rA	1i1rAB	IL6RB_HUMAN - Q98823_HHV8	-5.747	-8.909	28	38	73.68%	No expression data available	1	0.436589217	0.736842105	0.321697317	-1.848794484	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	KAT8_HUMAN	Histone acetyltransferase KAT8	2y0mA	2y0mAB	KAT8_HUMAN - MSL1_MOUSE	-5.442	-13.09	23	29	79.31%	No expression data available	0.5	0.928034069	0.396551724	0.36801351	-2.002729521	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ROGDI_HUMAN	Protein rogdi homolog	5xqiA	5xqiAC	ROGDI_HUMAN - ROGDI_HUMAN	-5.258	-14.03	28	34	82.35%	No expression data available	1	0.058672988	0.823529412	0.048318932	-0.254060943	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UBC_HUMAN	Polyubiquitin-C	5b83A	5b83AC	UBC_HUMAN - OPTN_HUMAN	-5.585	-6.675	25	25	100.00%	No expression data available	0.5	0.265027401	0.5	0.1325137	-0.740089016	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ANC2_HUMAN	Anaphase-promoting complex subunit 2	5lcwN	5lcwNS	ANC2_HUMAN - BUB1B_HUMAN	-5.858	-8.13	17	25	68.00%	No expression data available	0.5	0.615693431	0.34	0.209335767	-1.226288921	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSD13_HUMAN	26S proteasome non-ATPase regulatory subunit 13	5t0ia	5t0iZa	PSD13_HUMAN - PSMD7_HUMAN	-5.993	-21.418	42	66	63.64%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, heart muscle, hippocampus, kidney, lung, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.939025228	0.954545455	0.896342263	-5.371779184	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	VINC_HUMAN	Vinculin	3s90A	3s90AC	VINC_HUMAN - TLN1_MOUSE	-18.926	-27.044	27	27	100.00%	No expression data available	0.5	0.995684594	0.5	0.497842297	-9.422163314	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	COG4_HUMAN	Conserved oligomeric Golgi complex subunit 4	3hr0B	3hr0AB	COG4_HUMAN - COG4_HUMAN	-5.249	-43.147	52	80	65.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.811938346	1.3	1.055519849	-5.540423689	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NAAA_HUMAN	N-acylethanolamine-hydrolyzing acid amidase	6dxxB	6dxxBE	NAAA_HUMAN - NAAA_HUMAN	-8.463	-5.318	15	15	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil"	0.5	0.221164367	0.5	0.110582184	-0.935857021	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3	5ln3S	5ln3SU	PSMD3_HUMAN - PSMD7_HUMAN	-6.804	-7.103	31	33	93.94%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.157569601	0.939393939	0.148019928	-1.00712759	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	TRBC1_HUMAN	T cell receptor beta constant 1	4jfdE	4jfdAE	TRBC1_HUMAN - 1A02_HUMAN	-6.906	-9.656	18	25	72.00%	No expression data available	0.5	0.209159365	0.36	0.075297371	-0.520003647	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uA	4q9uAC	RABX5_HUMAN - RABE1_HUMAN	-10.485	-9.639	48	51	94.12%	No expression data available	1.5	0.044440511	1.411764706	0.062739545	-0.657824126	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	VINC_HUMAN	Vinculin	2hsqA	2hsqAB	VINC_HUMAN - Q6XVZ2_SHIFL	-20.075	-21.694	22	23	95.65%	No expression data available	0.5	0.972060864	0.47826087	0.464898674	-9.332840878	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	TERF2_HUMAN	Telomeric repeat-binding factor 2	3buaB	3buaAB	TERF2_HUMAN - TERF2_HUMAN	-7.501	-17.726	37	58	63.79%	No expression data available	1.5	0.975146915	0.956896552	0.93311472	-6.999293515	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uE	4q9uEH	RABX5_HUMAN - RABE1_HUMAN	-5.371	-14.888	48	75	64.00%	No expression data available	1.5	0.173985096	0.96	0.167025692	-0.897094994	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	MOB1A_HUMAN	MOB kinase activator 1A	5brkA	5brkAB	MOB1A_HUMAN - LATS1_HUMAN	-6.573	-16.961	36	42	85.71%	No expression data available	1	0.656897445	0.857142857	0.563054953	-3.700960207	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	5vgzZ	5vgzWZ	PSMD7_HUMAN - PSD12_HUMAN	-13.24	-9.43	30	31	96.77%	No expression data available	1	0.413389694	0.967741935	0.400054543	-5.296722147	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	5ln3U	5ln3PU	PSMD7_HUMAN - PSD12_HUMAN	-11.807	-10.605	37	37	100.00%	No expression data available	1	0.014841092	1	0.014841092	-0.175228774	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tB	5e1tAB	TRAF1_HUMAN - TRAF1_HUMAN	-9.869	-18.63	41	52	78.85%	No expression data available	1.5	0.219061451	1.182692308	0.259082293	-2.556883152	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RAB10_HUMAN	Ras-related protein Rab-10	5lpnA	5lpnAB	RAB10_HUMAN - MICA1_HUMAN	-5.808	-16.646	46	59	77.97%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.302706034	1.169491525	0.354012141	-2.056102517	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1	2h7vA	2h7vAC	RAC1_HUMAN - YPKA_YERPS	-5.727	-12.245	21	37	56.76%	"appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.62424817	0.567567568	0.354303015	-2.029093369	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein	2ykoA	2ykoAC	LORF1_HUMAN - LORF1_HUMAN	-10.418	-18.18	47	58	81.03%	No expression data available	1.5	0.265027401	1.215517241	0.322145375	-3.356110515	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein	2ykoB	2ykoAB	LORF1_HUMAN - LORF1_HUMAN	-5.518	-15.213	50	57	87.72%	No expression data available	1.5	0.209159365	1.315789474	0.275209691	-1.518607075	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UBC9_HUMAN	SUMO-conjugating enzyme UBC9	4y1lB	4y1lBC	UBC9_HUMAN - RWDD3_HUMAN	-7.277	-7.022	20	28	71.43%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, skin 1, skin 2, small intestine, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.200007634	0.357142857	0.071431298	-0.519805554	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CLC4K_HUMAN	C-type lectin domain family 4 member K	3kqgC	3kqgAC	CLC4K_HUMAN - CLC4K_HUMAN	-7.378	-14.584	37	58	63.79%	No expression data available	1.5	0.360987575	0.956896552	0.345427766	-2.548566055	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N	4orhF	4orhBF	UBE2N_HUMAN - UBE2N_HUMAN	-7.831	-7.503	19	24	79.17%	No expression data available	0.5	0.003780818	0.395833333	0.001496574	-0.011719668	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UB2G2_HUMAN	Ubiquitin-conjugating enzyme E2 G2	4ladA	4ladAB	UB2G2_HUMAN - AMFR_HUMAN	-5.207	-20.226	26	43	60.47%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.561427389	0.604651163	0.339467724	-1.767608437	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	B2CL1_HUMAN	Bcl-2-like protein 1	5fmjA	5fmjAB	B2CL1_HUMAN - BAK_MOUSE	-7.422	-22.2	21	21	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.937715702	0.5	0.468857851	-3.479862971	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RTF1_HUMAN	RNA polymerase-associated protein RTF1 homolog	4l1uE	4l1uBE	RTF1_HUMAN - RTF1_HUMAN	-5.288	-3.967	20	30	66.67%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.000644297	0.666666667	0.000429531	-0.002271361	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RAB10_HUMAN	Ras-related protein Rab-10	5lpnC	5lpnBC	RAB10_HUMAN - MICA1_HUMAN	-5.264	-7.308	29	39	74.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.555056359	0.743589744	0.412734216	-2.172632912	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	1yr5A	1yr5AB	CALM2_HUMAN - DAPK1_HUMAN	-17.069	-26.159	19	19	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.923123591	0.5	0.461561796	-7.878398289	
7nx5B	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PLMN_HUMAN	Plasminogen	2dohX	2dohCX	PLMN_HUMAN - PAM_STRPY	-8.529	-9.379	19	19	100.00%	No expression data available	0.5	0.654619819	0.5	0.327309909	-2.791626218	
