Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	BECN2_HUMAN	Beclin-2	5k7bB	5k7bAB	BECN2_HUMAN - BECN2_HUMAN	-5.63	-47.938	60	87	68.97%	No expression data available	2	0.985343507	1.379310345	1.359094493	-7.651701996	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	LMNB1_HUMAN	Lamin-B1	3tyyB	3tyyAB	LMNB1_HUMAN - LMNB1_HUMAN	-10.021	-40.454	62	71	87.32%	No expression data available	1.5	0.460747783	1.309859155	0.603514702	-6.047820829	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	4umoB	4umoAB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.291	-27.896	42	71	59.15%	No expression data available	1.5	0.07046045	0.887323944	0.062521245	-0.330799906	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	HIP1_HUMAN	Huntingtin-interacting protein 1	3i00A	3i00AB	HIP1_HUMAN - HIP1_HUMAN	-7.95	-6.706	28	28	100.00%	No expression data available	0.5	0.032354556	0.5	0.016177278	-0.12860936	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	INADL_HUMAN	InaD-like protein	1vf6B	1vf6AB	INADL_HUMAN - INADL_HUMAN	-10.412	-14.353	26	26	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.26101331	0.5	0.130506655	-1.358835293	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	4godB	4godAB	SGTA_HUMAN - SGTA_HUMAN	-7.08	-19.607	34	43	79.07%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.961726635	0.790697674	0.760435014	-5.3838799	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	TIM9_HUMAN	Mitochondrial import inner membrane translocase subunit Tim9	2bskA	2bskAB	TIM9_HUMAN - TIM10_HUMAN	-6.767	-15.059	41	45	91.11%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.346083215	0.911111111	0.315320262	-2.133772215	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	TRI63_HUMAN	E3 ubiquitin-protein ligase TRIM63	4m3lB	4m3lAB	TRI63_HUMAN - TRI63_HUMAN	-5.416	-5.426	27	27	100.00%	No expression data available	0.5	0	0.5	0	0	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	STK3_HUMAN	Serine/threonine-protein kinase 3	4l0nH	4l0nGH	STK3_HUMAN - STK3_HUMAN	-7.275	-25.343	41	51	80.39%	No expression data available	1.5	0.930999191	1.205882353	1.122675495	-8.167464227	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	HDAC4_HUMAN	Histone deacetylase 4	2h8nD	2h8nAD	HDAC4_HUMAN - HDAC4_HUMAN	-5.08	-3.981	45	45	100.00%	"appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0	1	0	0	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	RFIP3_HUMAN	Rab11 family-interacting protein 3	2hv8F	2hv8EF	RFIP3_HUMAN - RFIP3_HUMAN	-11.566	-15.149	32	38	84.21%	"adrenal gland, appendix, bone marrow, breast, bronchus, cervix, uterine, colon, duodenum, endometrium 2, epididymis, fallopian tube, gallbladder, kidney, liver, nasopharynx, oral mucosa, parathyroid gland, prostate, rectum, seminal vesicle, small intestine, smooth muscle, testis, thyroid gland, tonsil, urinary bladder"	1	0.16930599	0.842105263	0.142573466	-1.649004704	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	APOC1_HUMAN	Apolipoprotein C-I	6dvuB	6dvuAB	APOC1_HUMAN - APOC1_HUMAN	-6.245	-5.606	34	34	100.00%	No expression data available	1	0	1	0	0	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	MARE1_HUMAN	Microtubule-associated protein RP/EB family member 1	3tq7A	3tq7AB	MARE1_HUMAN - MARE3_HUMAN	-10.018	-29.74	35	49	71.43%	No expression data available	1	0.75498121	0.714285714	0.539272293	-5.402429828	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-7.197	-11.075	29	50	58.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.350035012	0.87	0.304530461	-2.191705725	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5eoaC	5eoaAC	TBK1_HUMAN - OPTN_HUMAN	-7.997	-19.034	44	49	89.80%	No expression data available	1	0.098883375	0.897959184	0.088793234	-0.710079496	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	MYCBP_HUMAN	c-Myc-binding protein	2yy0A	2yy0AB	MYCBP_HUMAN - MYCBP_HUMAN	-9.785	-20.033	37	37	100.00%	No expression data available	1	0.814583917	1	0.814583917	-7.970703627	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	EPHA1_HUMAN	Ephrin type-A receptor 1	2k1kB	2k1kAB	EPHA1_HUMAN - EPHA1_HUMAN	-6.193	-10.72	29	30	96.67%	No expression data available	1	0.084379089	0.966666667	0.081566453	-0.505141043	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	NTRK1_HUMAN	High affinity nerve growth factor receptor	2n90A	2n90AB	NTRK1_HUMAN - NTRK1_HUMAN	-6.422	-4.477	26	30	86.67%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0	0.866666667	0	0	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	NUP54_HUMAN	Nucleoporin p54	4jo7B	4jo7AB	NUP54_HUMAN - NUP58_HUMAN	-5.769	-16.496	52	66	78.79%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1.5	0.375490862	1.181818182	0.443761928	-2.560062563	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2	1txpD	1txpAD	HNRPC_HUMAN - HNRPC_HUMAN	-7.528	-12.575	25	25	100.00%	No expression data available	0.5	0	0.5	0	0	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	AKA7G_HUMAN	A-kinase anchor protein 7 isoform gamma	4zp3M	4zp3AM	AKA7G_HUMAN - KAP2_HUMAN	-5.537	-8.93	21	24	87.50%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.209159365	0.4375	0.091507222	-0.50667549	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3hfeB	3hfeBC	KCNQ1_HUMAN - KCNQ1_HUMAN	-6.014	-6.117	23	23	100.00%	No expression data available	0.5	0.41254231	0.5	0.206271155	-1.240514726	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	MYH9_HUMAN	Myosin-9	4etoP	4etoAP	MYH9_HUMAN - S10A4_HUMAN	-7.076	-10.74	23	29	79.31%	No expression data available	0.5	0.265027401	0.396551724	0.105097073	-0.743666886	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	IST1_HUMAN	IST1 homolog	4u7yB	4u7yAB	IST1_HUMAN - VPS4B_HUMAN	-7.51	-10.612	28	36	77.78%	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.63307017	0.777777778	0.49238791	-3.697833204	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	CD4_HUMAN	T-cell surface glycoprotein CD4	3b71D	3b71AD	CD4_HUMAN - FAK1_HUMAN	-5.615	-4.897	24	26	92.31%	No expression data available	0.5	0.209159365	0.461538462	0.096535092	-0.54204454	
4bh1D	INFLUENZA A VIRUS	HEMAGGLUTININ	KI21A_HUMAN	Kinesin-like protein KIF21A	5d3aB	5d3aAB	KI21A_HUMAN - KI21A_HUMAN	-6.972	-45.149	59	79	74.68%	No expression data available	1.5	0.269110027	1.120253165	0.301471359	-2.101858318	
4bh3A	INFLUENZA VIRUS	HEMAGGLUTININ	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	4auvF	4auvFG	BRMS1_HUMAN - BRMS1_HUMAN	-5.089	-3.31	16	20	80.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.4	0.064986025	-0.330713881	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	CHLE_HUMAN	Cholinesterase	6esyB	6esyAB	CHLE_HUMAN - CHLE_HUMAN	-5.421	-6.981	29	29	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.188631273	0.5	0.094315636	-0.511285065	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	ABCG8_HUMAN	ATP-binding cassette sub-family G member 8	5do7D	5do7BD	ABCG8_HUMAN - ABCG8_HUMAN	-6.985	-9.941	32	37	86.49%	No expression data available	1	0	0.864864865	0	0	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-9.226	-16.895	42	47	89.36%	No expression data available	1	0.886253419	0.893617021	0.79197114	-7.306725742	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2	4oniB	4oniAB	NR5A2_HUMAN - NR5A2_HUMAN	-5.689	-11.771	43	50	86.00%	No expression data available	1.5	0.009784275	1.29	0.012621715	-0.071804938	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	HMOX2_HUMAN	Heme oxygenase 2	5uc9A	5uc9AD	HMOX2_HUMAN - HMOX2_HUMAN	-5.162	-1.544	33	40	82.50%	No expression data available	1	0	0.825	0	0	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	PSB4_HUMAN	Proteasome subunit beta type-4	4r3oN	4r3oGN	PSB4_HUMAN - PSA3_HUMAN	-5.171	-4.613	24	26	92.31%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.200269555	0.461538462	0.092432102	-0.477966402	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tA	5e1tAC	TRAF1_HUMAN - TRAF1_HUMAN	-7.011	-19.522	40	50	80.00%	No expression data available	1.5	0.107825779	1.2	0.129390934	-0.90715984	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaD	3slaDE	CTNB1_HUMAN - CTNB1_HUMAN	-8.155	-10.095	32	38	84.21%	No expression data available	1	0.410107577	0.842105263	0.345353749	-2.816359826	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uE	4q9uEH	RABX5_HUMAN - RABE1_HUMAN	-11.856	-14.888	65	75	86.67%	No expression data available	1.5	0.173985096	1.3	0.226180625	-2.681597491	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SET_HUMAN	Protein SET	2e50B	2e50AB	SET_HUMAN - SET_HUMAN	-9.758	-42.475	52	69	75.36%	No expression data available	1.5	0.98135544	1.130434783	1.109358324	-10.82511852	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	RB11A_HUMAN	Ras-related protein Rab-11A	6djlH	6djlBH	RB11A_HUMAN - 3BP5_HUMAN	-7.569	-13.501	43	50	86.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.983462504	1.29	1.26866663	-9.602537721	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SHRM2_HUMAN	Protein Shroom2	5f5pA	5f5pAC	SHRM2_HUMAN - ROCK1_HUMAN	-10.198	-11.075	29	29	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.350035012	0.5	0.175017506	-1.784828527	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	UB2G2_HUMAN	Ubiquitin-conjugating enzyme E2 G2	2lxpA	2lxpAB	UB2G2_HUMAN - AMFR_HUMAN	-5.745	-12.189	27	27	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.470307003	0.5	0.235153501	-1.350956865	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3mk8A	3mk8AB	MCL1_HUMAN - MCL1_HUMAN	-6.386	-10.44	17	17	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.885694742	0.5	0.442847371	-2.82802331	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	NU6M_HUMAN	NADH-ubiquinone oxidoreductase chain 6	5xtcm	5xtcim	NU6M_HUMAN - NU2M_HUMAN	-6.162	-9.558	39	48	81.25%	No expression data available	1	0.15378792	0.8125	0.124952685	-0.769958446	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	PLMN_HUMAN	Plasminogen	2dohX	2dohCX	PLMN_HUMAN - PAM_STRPY	-6.173	-9.379	19	19	100.00%	No expression data available	0.5	0.654619819	0.5	0.327309909	-2.020484071	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	ENAH_HUMAN	Protein enabled homolog	5najB	5najBC	ENAH_HUMAN - ENAH_HUMAN	-5.955	-4.73	20	27	74.07%	No expression data available	0.5	0.32959884	0.37037037	0.122073645	-0.726948553	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF	3qzsA	3qzsAB	BPTF_HUMAN - BPTF_HUMAN	-5.101	-5.635	23	25	92.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, fallopian tube, gallbladder, kidney, liver, lung, nasopharynx, ovary, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0	0.46	0	0	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	KAT2B_HUMAN	Histone acetyltransferase KAT2B	5lvqB	5lvqAB	KAT2B_HUMAN - KAT2B_HUMAN	-5.09	-6.196	30	32	93.75%	No expression data available	1	0.06834673	0.9375	0.06407506	-0.326142054	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	HBA_HUMAN	Hemoglobin subunit alpha	1y01B	1y01AB	HBA_HUMAN - AHSP_HUMAN	-6.371	-10.771	41	43	95.35%	No expression data available	1	0.833211702	0.953488372	0.794457669	-5.061489809	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SHRPN_HUMAN	Sharpin	4emoC	4emoBC	SHRPN_HUMAN - SHRPN_HUMAN	-6.755	-16.166	26	37	70.27%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.281027656	0.702702703	0.197478893	-1.333969924	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SPAST_HUMAN	Spastin	3eabA	3eabAG	SPAST_HUMAN - CHM1B_HUMAN	-15.694	-16.847	27	32	84.38%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.851489444	0.84375	0.718444219	-11.27526357	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3pk1A	3pk1AB	MCL1_HUMAN - BAX_HUMAN	-5.944	-17.23	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.841798902	0.5	0.420899451	-2.501826338	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkC	5ydkCF	RS27A_HUMAN - RN168_HUMAN	-6.145	-10.395	24	24	100.00%	No expression data available	0.5	0.190635031	0.5	0.095317516	-0.585726133	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	EPHB2_HUMAN	Ephrin type-B receptor 2	1b4fB	1b4fAB	EPHB2_HUMAN - EPHB2_HUMAN	-9.65	-10.907	20	26	76.92%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.018186108	0.384615385	0.006994657	-0.067498438	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	KI21A_HUMAN	Kinesin-like protein KIF21A	5nfdB	5nfdAB	KI21A_HUMAN - KI21A_HUMAN	-9.317	-9.791	59	67	88.06%	No expression data available	1.5	0.258317607	1.320895522	0.34121057	-3.179058881	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	NUP58_HUMAN	Nucleoporin p58/p45	4jq5B	4jq5AB	NUP58_HUMAN - NUP58_HUMAN	-6.125	-29.813	60	68	88.24%	"appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.996775128	1.323529412	1.319261199	-8.080474844	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5M	4aj5MP	SKA2_HUMAN - SKA2_HUMAN	-11.377	-4.372	20	20	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.924182508	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	USH1C_HUMAN	Harmonin	2kbrA	2kbrAB	USH1C_HUMAN - CAD23_HUMAN	-7.895	-8.458	18	18	100.00%	No expression data available	0.5	0.279820352	0.5	0.139910176	-1.104590838	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	NOVA2_HUMAN	RNA-binding protein Nova-2	1dtjD	1dtjAD	NOVA2_HUMAN - NOVA2_HUMAN	-6.512	-8.289	15	22	68.18%	No expression data available	0.5	0.176882831	0.340909091	0.060300965	-0.392679885	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsB	3mtsBC	SUV91_HUMAN - SUV91_HUMAN	-8.707	-10.095	25	35	71.43%	No expression data available	1	0.746656662	0.714285714	0.533326187	-4.643671109	
